User ID,Question Number,Timestamp,Group,Method,Chart,Rep Concept ID,Rep Saliency,Pro Concept ID,Pro Saliency
expert_id-1720169161410-nkroiq3cd,1,05/07/2024 9.48.09,a,VIG,lattice,1,weak top,1,strong top
expert_id-1720169233313-etyldhhp8,1,05/07/2024 9.48.14,a,VIG,lattice,1,strong top,53,weak bottom
expert_id-1720169161410-nkroiq3cd,2,05/07/2024 9.49.09,a,VIG,lattice,0,equal,0,equal
expert_id-1720169233313-etyldhhp8,2,05/07/2024 9.49.31,a,VIG,lattice,0,equal,44,weak bottom
expert_id-1720169328517-ozj5mn39a,1,05/07/2024 9.49.42,a,VIG,lattice,1,strong top,1,strong top
expert_id-1720169161410-nkroiq3cd,3,05/07/2024 9.49.52,a,VIG,lattice,32,weak top,13,weak bottom
expert_id-1720169233313-etyldhhp8,3,05/07/2024 9.50.13,a,VIG,lattice,13,strong bottom,13,strong bottom
expert_id-1720169161410-nkroiq3cd,4,05/07/2024 9.50.19,a,VIG,lattice,0,equal,0,equal
expert_id-1720169233313-etyldhhp8,4,05/07/2024 9.50.34,a,VIG,lattice,77,weak bottom,77,strong bottom
expert_id-1720169161410-nkroiq3cd,5,05/07/2024 9.50.45,a,VIG,lattice,1,strong top,65,weak bottom
expert_id-1720169328517-ozj5mn39a,2,05/07/2024 9.51.01,a,VIG,lattice,35,weak top,44,weak bottom
expert_id-1720169161410-nkroiq3cd,6,05/07/2024 9.51.11,a,VIG,lattice,0,equal,79,weak top
expert_id-1720169328517-ozj5mn39a,3,05/07/2024 9.51.58,a,VIG,lattice,13,weak bottom,13,weak bottom
expert_id-1720169233313-etyldhhp8,5,05/07/2024 9.52.33,a,VIG,lattice,1,weak top,0,equal
expert_id-1720169328517-ozj5mn39a,4,05/07/2024 9.53.08,a,VIG,lattice,56,weak top,56,weak top
expert_id-1720169161410-nkroiq3cd,7,05/07/2024 9.53.58,a,VIG,lattice,5,weak bottom,5,weak bottom
expert_id-1720169328517-ozj5mn39a,5,05/07/2024 9.54.10,a,VIG,lattice,1,strong top,1,weak top
expert_id-1720169161410-nkroiq3cd,8,05/07/2024 9.54.31,a,VIG,lattice,4,strong top,62,weak bottom
expert_id-1720169233313-etyldhhp8,6,05/07/2024 9.54.45,a,VIG,lattice,0,equal,79,weak top
expert_id-1720169161410-nkroiq3cd,9,05/07/2024 9.55.00,a,VIG,lattice,0,equal,0,equal
expert_id-1720169233313-etyldhhp8,7,05/07/2024 9.55.11,a,VIG,lattice,5,strong bottom,5,weak bottom
expert_id-1720169161410-nkroiq3cd,10,05/07/2024 9.55.25,a,VIG,lattice,0,equal,47,weak bottom
expert_id-1720169328517-ozj5mn39a,6,05/07/2024 9.55.56,a,VIG,lattice,71,weak bottom,79,weak top
expert_id-1720169161410-nkroiq3cd,11,05/07/2024 9.56.12,a,VIG,lattice,0,equal,40,weak top
expert_id-1720169233313-etyldhhp8,8,05/07/2024 9.56.29,a,VIG,lattice,0,equal,62,strong bottom
expert_id-1720169161410-nkroiq3cd,12,05/07/2024 9.56.48,a,VIG,lattice,0,equal,35,weak top
expert_id-1720169233313-etyldhhp8,9,05/07/2024 9.57.02,a,VIG,lattice,8,weak bottom,7,weak top
expert_id-1720169161410-nkroiq3cd,13,05/07/2024 9.57.02,a,VIG,lattice,0,equal,65,weak bottom
expert_id-1720169328517-ozj5mn39a,7,05/07/2024 9.57.16,a,VIG,lattice,5,weak bottom,40,weak top
expert_id-1720169161410-nkroiq3cd,14,05/07/2024 9.57.23,a,VIG,lattice,0,equal,35,weak top
expert_id-1720169233313-etyldhhp8,10,05/07/2024 9.57.30,a,VIG,lattice,47,weak bottom,0,equal
expert_id-1720169161410-nkroiq3cd,15,05/07/2024 9.57.39,a,VIG,lattice,0,equal,35,weak top
expert_id-1720169161410-nkroiq3cd,16,05/07/2024 9.57.59,a,VIG,lattice,0,equal,0,equal
expert_id-1720169233313-etyldhhp8,11,05/07/2024 9.58.08,a,VIG,lattice,39,weak bottom,39,weak bottom
expert_id-1720169161410-nkroiq3cd,17,05/07/2024 9.58.17,a,VIG,lattice,1,weak top,77,weak bottom
expert_id-1720169161410-nkroiq3cd,18,05/07/2024 9.58.46,a,VIG,lattice,0,equal,5,weak bottom
expert_id-1720169233313-etyldhhp8,12,05/07/2024 9.59.00,a,VIG,lattice,10,weak bottom,10,weak bottom
expert_id-1720169233313-etyldhhp8,13,05/07/2024 9.59.34,a,VIG,lattice,7,weak top,0,equal
expert_id-1720169161410-nkroiq3cd,19,05/07/2024 9.59.38,a,VIG,lattice,0,equal,4,weak top
expert_id-1720169233313-etyldhhp8,14,05/07/2024 10.00.02,a,VIG,lattice,0,equal,53,weak bottom
expert_id-1720169161410-nkroiq3cd,20,05/07/2024 10.00.10,a,VIG,lattice,0,equal,0,equal
expert_id-1720169233313-etyldhhp8,15,05/07/2024 10.00.27,a,VIG,lattice,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,21,05/07/2024 10.00.30,a,VIG,lattice,13,weak bottom,0,equal
expert_id-1720169161410-nkroiq3cd,22,05/07/2024 10.00.50,a,VIG,lattice,56,weak top,56,weak top
expert_id-1720169328517-ozj5mn39a,8,05/07/2024 10.00.55,a,VIG,lattice,4,strong top,4,weak top
expert_id-1720169161410-nkroiq3cd,23,05/07/2024 10.00.55,a,VIG,lattice,56,weak top,56,weak top
expert_id-1720169161410-nkroiq3cd,24,05/07/2024 10.01.07,a,VIG,lattice,56,weak top,56,weak top
expert_id-1720169233313-etyldhhp8,16,05/07/2024 10.01.12,a,VIG,lattice,0,equal,39,weak bottom
expert_id-1720169161410-nkroiq3cd,25,05/07/2024 10.01.26,a,VIG,lattice,8,weak bottom,79,weak top
expert_id-1720169328517-ozj5mn39a,9,05/07/2024 10.01.27,a,VIG,lattice,7,weak top,7,weak top
expert_id-1720169233313-etyldhhp8,17,05/07/2024 10.01.28,a,VIG,lattice,1,weak top,77,weak bottom
expert_id-1720169161410-nkroiq3cd,26,05/07/2024 10.01.42,a,VIG,scatterplot,0,equal,36,weak top
expert_id-1720169161410-nkroiq3cd,27,05/07/2024 10.01.52,a,VIG,scatterplot,6,weak bottom,82,weak top
expert_id-1720169233313-etyldhhp8,18,05/07/2024 10.02.04,a,VIG,lattice,5,strong bottom,79,weak top
expert_id-1720169161410-nkroiq3cd,28,05/07/2024 10.02.08,a,VIG,scatterplot,0,equal,29,weak top
expert_id-1720169161410-nkroiq3cd,29,05/07/2024 10.02.22,a,VIG,scatterplot,0,equal,72,weak bottom
expert_id-1720169328517-ozj5mn39a,10,05/07/2024 10.02.29,a,VIG,lattice,26,weak top,26,weak top
expert_id-1720169161410-nkroiq3cd,30,05/07/2024 10.02.33,a,VIG,scatterplot,21,weak top,60,weak bottom
expert_id-1720169233313-etyldhhp8,19,05/07/2024 10.02.34,a,VIG,lattice,4,weak top,0,equal
expert_id-1720169161410-nkroiq3cd,31,05/07/2024 10.02.41,a,VIG,scatterplot,2,weak bottom,2,weak bottom
expert_id-1720169161410-nkroiq3cd,32,05/07/2024 10.02.50,a,VIG,scatterplot,0,equal,67,weak top
expert_id-1720169233313-etyldhhp8,20,05/07/2024 10.02.53,a,VIG,lattice,0,equal,77,weak bottom
expert_id-1720169161410-nkroiq3cd,33,05/07/2024 10.02.59,a,VIG,scatterplot,38,weak top,38,weak top
expert_id-1720169328517-ozj5mn39a,11,05/07/2024 10.03.07,a,VIG,lattice,0,equal,40,weak top
expert_id-1720169161410-nkroiq3cd,34,05/07/2024 10.03.08,a,VIG,scatterplot,14,weak bottom,14,weak bottom
expert_id-1720169161410-nkroiq3cd,35,05/07/2024 10.03.21,a,VIG,scatterplot,54,weak bottom,54,weak bottom
expert_id-1720169161410-nkroiq3cd,36,05/07/2024 10.03.27,a,VIG,scatterplot,3,weak top,3,weak top
expert_id-1720169233313-etyldhhp8,21,05/07/2024 10.03.27,a,VIG,lattice,13,weak bottom,13,weak bottom
expert_id-1720169233313-etyldhhp8,22,05/07/2024 10.03.42,a,VIG,lattice,39,weak bottom,39,weak bottom
expert_id-1720169161410-nkroiq3cd,37,05/07/2024 10.03.44,a,VIG,scatterplot,0,equal,68,weak bottom
expert_id-1720169161410-nkroiq3cd,38,05/07/2024 10.03.56,a,VIG,scatterplot,32,weak top,32,weak top
expert_id-1720169233313-etyldhhp8,23,05/07/2024 10.04.00,a,VIG,lattice,0,equal,71,weak bottom
expert_id-1720169161410-nkroiq3cd,39,05/07/2024 10.04.05,a,VIG,scatterplot,0,equal,85,weak top
expert_id-1720169328517-ozj5mn39a,12,05/07/2024 10.04.12,a,VIG,lattice,10,weak bottom,10,weak bottom
expert_id-1720169161410-nkroiq3cd,40,05/07/2024 10.04.14,a,VIG,scatterplot,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,41,05/07/2024 10.04.21,a,VIG,scatterplot,2,weak bottom,24,weak top
expert_id-1720169161410-nkroiq3cd,42,05/07/2024 10.04.40,a,VIG,scatterplot,14,weak bottom,14,weak bottom
expert_id-1720169161410-nkroiq3cd,43,05/07/2024 10.04.46,a,VIG,scatterplot,6,weak bottom,6,weak bottom
expert_id-1720169233313-etyldhhp8,24,05/07/2024 10.04.49,a,VIG,lattice,65,weak bottom,65,weak bottom
expert_id-1720169161410-nkroiq3cd,44,05/07/2024 10.05.04,a,VIG,scatterplot,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,45,05/07/2024 10.05.12,a,VIG,scatterplot,16,weak bottom,16,weak bottom
expert_id-1720169233313-etyldhhp8,25,05/07/2024 10.05.15,a,VIG,lattice,8,strong bottom,79,weak top
expert_id-1720169161410-nkroiq3cd,46,05/07/2024 10.05.16,a,VIG,scatterplot,2,weak bottom,2,weak bottom
expert_id-1720169161410-nkroiq3cd,47,05/07/2024 10.05.35,a,VIG,scatterplot,0,equal,0,equal
expert_id-1720169233313-etyldhhp8,26,05/07/2024 10.05.36,a,VIG,scatterplot,36,weak top,36,weak top
expert_id-1720169328517-ozj5mn39a,13,05/07/2024 10.05.37,a,VIG,lattice,65,strong bottom,65,weak bottom
expert_id-1720169161410-nkroiq3cd,48,05/07/2024 10.05.44,a,VIG,scatterplot,0,equal,50,weak top
expert_id-1720169161410-nkroiq3cd,49,05/07/2024 10.05.54,a,VIG,scatterplot,0,equal,0,equal
expert_id-1720169233313-etyldhhp8,27,05/07/2024 10.06.05,a,VIG,scatterplot,0,equal,82,strong top
expert_id-1720169161410-nkroiq3cd,50,05/07/2024 10.06.07,a,VIG,scatterplot,0,equal,0,equal
expert_id-1720169161410-nkroiq3cd,51,05/07/2024 10.06.24,a,SIG,lattice,0,equal,53,weak top
expert_id-1720169161410-nkroiq3cd,52,05/07/2024 10.06.41,a,SIG,lattice,5,weak top,5,weak top
