Method,Chart,Question Number,Group,Rep Majority,Pro Majority
SIG,barchart,101,a,bottom,bottom
SIG,barchart,101,b,bottom,bottom
SIG,barchart,102,a,top,top
SIG,barchart,102,b,bottom,bottom
SIG,barchart,103,a,top,top
SIG,barchart,103,b,equal,equal
SIG,barchart,104,a,top,bottom
SIG,barchart,104,b,bottom,bottom
SIG,barchart,105,a,top,bottom
SIG,barchart,105,b,bottom,bottom
SIG,barchart,106,a,top,bottom
SIG,barchart,106,b,bottom,bottom
SIG,barchart,107,a,top,top
SIG,barchart,107,b,top,top
SIG,barchart,108,a,top,bottom
SIG,barchart,108,b,bottom,bottom
SIG,barchart,109,a,top,top
SIG,barchart,109,b,bottom,bottom
SIG,barchart,110,a,bottom,bottom
SIG,barchart,110,b,equal,equal
SIG,barchart,111,a,bottom,bottom
SIG,barchart,111,b,top,top
SIG,barchart,112,a,bottom,top
SIG,barchart,112,b,top,equal
SIG,barchart,113,a,top,top
SIG,barchart,113,b,bottom,bottom
SIG,barchart,114,a,top,bottom
SIG,barchart,114,b,bottom,bottom
SIG,barchart,115,a,top,bottom
SIG,barchart,115,b,top,top
SIG,barchart,116,a,top,bottom
SIG,barchart,116,b,bottom,bottom
SIG,barchart,117,a,top,bottom
SIG,barchart,117,b,equal,equal
SIG,barchart,118,a,top,bottom
SIG,barchart,118,b,equal,bottom
SIG,barchart,119,a,bottom,top
SIG,barchart,119,b,bottom,bottom
SIG,barchart,120,a,bottom,bottom
SIG,barchart,120,b,bottom,top
SIG,barchart,121,a,top,top
SIG,barchart,121,b,bottom,top
SIG,barchart,122,a,bottom,equal
SIG,barchart,122,b,equal,top
SIG,barchart,123,a,bottom,top
SIG,barchart,123,b,bottom,bottom
SIG,barchart,124,a,equal,bottom
SIG,barchart,124,b,top,bottom
SIG,barchart,125,a,top,bottom
SIG,barchart,125,b,top,top
SIG,lattice,51,a,bottom,bottom
SIG,lattice,51,b,equal,top
SIG,lattice,52,a,top,top
SIG,lattice,52,b,top,bottom
SIG,lattice,53,a,top,bottom
SIG,lattice,53,b,bottom,bottom
SIG,lattice,54,a,equal,bottom
SIG,lattice,54,b,bottom,bottom
SIG,lattice,55,a,top,bottom
SIG,lattice,55,b,bottom,bottom
SIG,lattice,56,a,top,bottom
SIG,lattice,56,b,equal,top
SIG,lattice,57,a,bottom,top
SIG,lattice,57,b,bottom,top
SIG,lattice,58,a,top,bottom
SIG,lattice,58,b,bottom,bottom
SIG,lattice,59,a,top,bottom
SIG,lattice,59,b,equal,bottom
SIG,lattice,60,a,bottom,bottom
SIG,lattice,60,b,bottom,bottom
